title,author,length
Jackson,Neven Iliev,18 hrs and 1 min
Vainglorious,Sandy Mitchell,8 hrs and 35 mins
Dark Future,"Glenn Beck,Justin Trask Haskins",16 hrs and 5 mins
The Primal Hunter 6,Zogarth,20 hrs and 8 mins
Ciaphas Cain: The Anthology,Sandy Mitchell,10 hrs and 27 mins
A Court of Silver Flames (Part 1 of 2) (Dramatized Adaptation),Sarah J. Maas,10 hrs
Tucker,Chadwick Moore,5 hrs and 47 mins
The Way I Hate Him,Meghan Quinn,15 hrs and 4 mins
The Emperor's Gift,Aaron Dembski-Bowden,12 hrs and 27 mins
Forever Connected,Kathleen Brooks,7 hrs and 9 mins
In Service of Death,JD Kirk,11 hrs and 19 mins
Gambler,Billy Walters,10 hrs and 56 mins
Iron Flame,Rebecca Yarros,14 hrs and 15 mins
Zodiac Academy 8.5: Beyond the Veil,"Caroline Peckham,Susanne Valenti",15 hrs and 55 mins
The One I Want,Siobhan Davis,22 hrs and 52 mins
Truestrike's Treachery,Daniel Schinhofen,12 hrs and 7 mins
Esrahaddon,Michael J. Sullivan,29 hrs and 32 mins
Forever After All,Catharina Maura,10 hrs and 5 mins
A Thousand Li: The Third Cut: A Xianxia Cultivation Novel,Tao Wong,11 hrs and 35 mins
The Vampire of Montana,Susan Copperfield,8 hrs and 14 mins
title,author,length
Jackson,Neven Iliev,18 hrs and 1 min
Vainglorious,Sandy Mitchell,8 hrs and 35 mins
Dark Future,"Glenn Beck,Justin Trask Haskins",16 hrs and 5 mins
The Primal Hunter 6,Zogarth,20 hrs and 8 mins
Ciaphas Cain: The Anthology,Sandy Mitchell,10 hrs and 27 mins
A Court of Silver Flames (Part 1 of 2) (Dramatized Adaptation),Sarah J. Maas,10 hrs
Tucker,Chadwick Moore,5 hrs and 47 mins
The Way I Hate Him,Meghan Quinn,15 hrs and 4 mins
The Emperor's Gift,Aaron Dembski-Bowden,12 hrs and 27 mins
Forever Connected,Kathleen Brooks,7 hrs and 9 mins
In Service of Death,JD Kirk,11 hrs and 19 mins
Gambler,Billy Walters,10 hrs and 56 mins
Iron Flame,Rebecca Yarros,14 hrs and 15 mins
Zodiac Academy 8.5: Beyond the Veil,"Caroline Peckham,Susanne Valenti",15 hrs and 55 mins
The One I Want,Siobhan Davis,22 hrs and 52 mins
Truestrike's Treachery,Daniel Schinhofen,12 hrs and 7 mins
Esrahaddon,Michael J. Sullivan,29 hrs and 32 mins
Forever After All,Catharina Maura,10 hrs and 5 mins
A Thousand Li: The Third Cut: A Xianxia Cultivation Novel,Tao Wong,11 hrs and 35 mins
The Vampire of Montana,Susan Copperfield,8 hrs and 14 mins
Tales from the Gas Station: Volume One,Jack Townsend,9 hrs and 44 mins
Ever Wonder Why?,Thomas Sowell,11 hrs and 24 mins
Iced Out,CE Ricci,9 hrs and 45 mins
Wish upon the Stars 1,Malcom Tent,8 hrs and 57 mins
Happiness for Beginners,Katherine Center,9 hrs and 19 mins
Cognac Villain,Nicole Fox,11 hrs and 49 mins
A Nefarious Plot,Steve Deace,7 hrs and 18 mins
The Chaos Agent,Mark Greaney,Not Yet Known
Prepper: Book 1,Tom Abrahams,7 hrs and 14 mins
Viajar cambiará tu vida,Alan Estrada,7 hrs and 15 mins
Fire and Song,Bryce O'Connor,34 hrs and 46 mins
Murder at the Village Fair,Helena Dixon,7 hrs and 20 mins
The Woman in Me,Britney Spears,7 hrs
Choose Strong,Sally McRae,4 hrs and 55 mins
Cave of Bones,"Lee Berger,John Hawks",5 hrs and 43 mins
The Crimes of Clearwell Castle,Benedict Brown,8 hrs and 44 mins
Peaches and Cream,Georgia Beers,9 hrs and 36 mins
How to Help Your Child Clean Up Their Mental Mess,Caroline Leaf,5 hrs and 25 mins
"Defiance of the Fall, Book 10","TheFirstDefier,JF Brink",20 hrs and 8 mins
The Asset,Saul Herzog,15 hrs and 3 mins
Extra Nos,FLAME,5 hrs and 48 mins
Holly,Stephen King,15 hrs and 22 mins
Kicking Ass After 50,"Ken Berry,Zane Griggs",4 hrs and 35 mins
The Men Can't Be Saved,Ben Purkert,9 hrs and 11 mins
Payback in Death,J. D. Robb,13 hrs and 54 mins
The Opposite of Namaste,Timber Hawkeye,4 hrs and 29 mins
The Lie in Our Marriage,Anna-Lou Weatherley,11 hrs and 41 mins
The Witch Collector,Charissa Weaks,13 hrs and 16 mins
A Stitch in Time,Andrew J. Robinson,12 hrs and 28 mins
Cartel Queen,JaQuavis Coleman,7 hrs and 2 mins
Preceptor,Terry Mancour,22 hrs and 13 mins
You Are a Theologian,"Jen Wilkin,J.T. English",4 hrs and 21 mins
Elon Musk,Walter Isaacson,20 hrs
Lethal Range,Ryan Steck,10 hrs
Plier,Jane Washington,10 hrs and 55 mins
Tuaca Tan,Traci Andrighetti,10 hrs and 42 mins
Freaky West,Amanda M. Lee,8 hrs and 32 mins
Hotshot,Clare Lydon,10 hrs and 18 mins
The Rise and Evolution of Brazilian Jiu-Jitsu,Robert Drysdale,15 hrs and 9 mins
Flight Plan,"T.B. Markinson,Miranda MacLeod",11 hrs and 1 min
On the Shore,Laura Pavlov,7 hrs and 44 mins
Teacher of the Year,M.A. Wardell,10 hrs and 37 mins
Hello Doctor,Kelsie Hoss,9 hrs and 1 min
Puzzle for Two,Josh Lanyon,6 hrs and 55 mins
Bradford Bastard,Sheridan Anne,11 hrs and 41 mins
After That Night,Karin Slaughter,16 hrs and 34 mins
Predator,Patricia Cornwell,11 hrs and 32 mins
Lolth's Warrior,R. A. Salvatore,13 hrs and 19 mins
Awakening Horde,M Zaugg,20 hrs and 33 mins
How to Bite Your Neighbor and Win a Wager,D. N. Bryn,8 hrs and 32 mins
Fanatical Prospecting,"Jeb Blount,Mike Weinberg - foreword",8 hrs and 21 mins
The Saad Truth About Happiness,Gad Saad,7 hrs and 10 mins
Las damas del poder,Francisco Cruz,11 hrs and 26 mins
Anastasia,Sophie Lark,23 hrs and 19 mins
Sage,Kris Michaels,6 hrs and 25 mins
Ascension,William Henry,8 hrs and 28 mins
Shattered Road,"Carol E. Leever,Camilla Ochlan",16 hrs and 15 mins
Knightmaster,Anna Hackett,5 hrs and 45 mins
Crushing Satan's Head,Fr. James Mawdsley,5 hrs and 50 mins
Dirty Laundry,"Richard Pink,Roxanne Emery",4 hrs and 2 mins
Mixed Up,Gordon Korman,5 hrs and 59 mins
Lord Manetu,Mary Rundle,10 hrs and 38 mins
Broken Beyond Repair,Emily Banting,8 hrs and 54 mins
Her Dying Kiss,Jennifer Chase,9 hrs and 46 mins
Illicit Heir,Maggie Cole,9 hrs and 4 mins
Witness to a Prosecution,Richard Sandler,10 hrs and 40 mins
Her Last Tear,Stacy Green,8 hrs and 32 mins
A Troubling Tail,Laurie Cass,9 hrs and 12 mins
E-Squared (10th Anniversary Edition),Pam Grout,4 hrs and 8 mins
The 16 Undeniable Laws of Communication,John Maxwell,8 hrs and 57 mins
The Summer Palace,Kristen Painter,9 hrs and 37 mins
Tom Lake,Ann Patchett,11 hrs and 22 mins
Fourth Wing,Rebecca Yarros,20 hrs and 43 mins
The Seven Primal Questions,Mike Foster,3 hrs and 15 mins
The Galileo Gambit,"Gary McAvoy,Ronald L. Moore",8 hrs and 30 mins
Red Company: First Strike!,B.V. Larson,9 hrs and 30 mins
Murder in Bermuda,"James Patterson,Aaron Tracy,Thaddeus McCants",4 hrs
The Obstacle Is the Way,Ryan Holiday,4 hrs and 38 mins
Cyberpunk 2077: No Coincidence,"Rafal Kosik,Stefan Kielbasiewicz - translator",14 hrs and 4 mins
Cyberpunk 2077: No Coincidence,"Rafal Kosik,Stefan Kielbasiewicz - translator",14 hrs and 4 mins
In the Likely Event,Rebecca Yarros,10 hrs and 30 mins
Homecoming,Kate Morton,17 hrs and 38 mins
Retribution,TurtleMe,25 hrs and 25 mins
Dark Healing Blind Curve,I. T. Lucas,8 hrs and 9 mins
One Last Rainy Day: The Legacy of a Prince,Kate Stewart,12 hrs and 36 mins
Rise of the Lycanthrope,Brock Walker,21 hrs and 59 mins
Best Things First,Bjorn Lomborg,7 hrs and 35 mins
The Armor of Light,Ken Follett,35 hrs
Burden of Time,Mark Tufo,Not Yet Known
One True Loves,Taylor Jenkins Reid,8 hrs and 53 mins
Like a River,Granger Smith,5 hrs and 56 mins
Fast Like a Girl,Dr. Mindy Pelz,8 hrs and 13 mins
The Warrior Poet Way,John Lovell,7 hrs and 46 mins
The Running Grave,Robert Galbraith,27 hrs
The Secret History,Donna Tartt,22 hrs and 3 mins
Cypress Ashes,Kai Butler,14 hrs and 38 mins
The Covenant of Water,Abraham Verghese,31 hrs and 16 mins
Murder at the Inn,Katie Gayle,7 hrs and 14 mins
Shadow of Deceit,Susan Sleeman,9 hrs and 31 mins
Cursed Cocktails,S.L. Rowland,7 hrs and 11 mins
Longshot,Rob Young,10 hrs and 28 mins
The People Code,Taylor Hartman PhD,11 hrs and 36 mins
Rise of the Weakest Summoner: Volume VI,J. R. Saileri,18 hrs and 10 mins
"Avatar, The Last Airbender: The Legacy of Yangchen",F. C. Yee,11 hrs and 2 mins
Shattered Truths,"H. Hunting,Helena Hunting",10 hrs and 52 mins
All the Black Girls Are Activists,EbonyJanice Moore,4 hrs and 52 mins
Into the Bright Sunshine,Samuel G. Freedman,17 hrs and 9 mins
Five Years After,William R. Forstchen,9 hrs
The Ritual,Shantel Tessier,16 hrs and 46 mins
"The SHTF Omnibus Series, Books 1-4",L.L. Akers,23 hrs and 26 mins
Magic Tides & Magic Claims,Ilona Andrews,12 hrs and 21 mins
Counting the Cost,"Jill Duggar,Derick Dillard - contributor,Craig Borlase - contributor",8 hrs
Tangled Vines,John Glatt,9 hrs and 10 mins
King of Pride,Ana Huang,11 hrs and 18 mins
Unified Modeling Language (UML) For the IT Business Analyst,Melissa Attaway,8 hrs and 6 mins
The Pucking Wrong Number,C.R. Jane,9 hrs and 45 mins
Adversity for Sale,Jeezy,7 hrs and 46 mins
A Soul of Ash and Blood,Jennifer L. Armentrout,19 hrs and 43 mins
Out of Nowhere,Sandra Brown,10 hrs
Ozark Dogs,Eli Cranor,7 hrs and 29 mins
Losers: Part 1,Harley LaRoux,16 hrs and 1 min
Everything,Dakota Krout,13 hrs and 42 mins
Blowback,Miles Taylor,12 hrs and 57 mins
All My Knotted-Up Life,Beth Moore,8 hrs and 29 mins
Profit First,Mike Michalowicz,7 hrs and 52 mins
Super Sales on Super Heroes 6,William D. Arand,13 hrs and 10 mins
Wine People,Michelle Wildgen,8 hrs and 37 mins
Fixing Avoidant and Anxious Attachment in Your Relationship,Robert J. Charles,3 hrs and 56 mins
Virgin Hearts,Emmy Sanders,9 hrs and 1 min
Reverse Meditation,Andrew Holecek,7 hrs and 21 mins
Truth to Power,André de Ruyter,13 hrs and 9 mins
Angel Abundance,Belinda J. Womack,8 hrs and 50 mins
The Leap to Leader,Adam Bryant,5 hrs and 21 mins
The Detective Up Late,Adrian McKinty,9 hrs and 15 mins
Start Your Notary Public & Loan Signing Agent Business,LSAUSA Education,3 hrs and 32 mins
UFO of God,Chris Bledsoe,7 hrs and 52 mins
The No Kiss Contract,Nan Campbell,12 hrs and 13 mins
The Shift,Tinx,5 hrs and 17 mins
Until I Get You,Claire Contreras,15 hrs and 12 mins
Ultra-Processed People,Chris van Tulleken,11 hrs and 35 mins
Hero Unbound,Janie Crouch,8 hrs and 43 mins
Nightborn: Coldfire Rising,C.S. Friedman,9 hrs and 52 mins
We Are Destiny,Alisha Williams,9 hrs and 23 mins
Malum Discordiae,Ashlyn Drewek,12 hrs and 7 mins
Saving 6,Chloe Walsh,21 hrs and 25 mins
Heir to Thorn and Flame,Ben Alderson,15 hrs and 21 mins
Lost Proof,Michael Stagg,11 hrs and 8 mins
My Fault,Mercedes Ron,12 hrs and 32 mins
Rich Nurse Poor Nurses,Patrice M. Foster,4 hrs and 7 mins
Judgment Prey,John Sandford,12 hrs
Magnolia Parks,Jessa Hastings,13 hrs and 42 mins
Shadow over Tokyo,John Corwin,11 hrs and 14 mins
The Runesmith's Trials,Andrew Karevik,12 hrs and 4 mins
Fact-Checking the Fact-Checkers,Matt Palumbo,9 hrs and 50 mins
The River's Edge,Joy Ellis,Not Yet Known
Those Empty Eyes,Charlie Donlea,10 hrs and 28 mins
Throttled,Lauren Asher,10 hrs and 21 mins
Corrupted Chaos,Shain Rose,10 hrs and 38 mins
Glimmers of You,Catherine Cowles,8 hrs and 30 mins
10x Is Easier than 2x,"Dan Sullivan,Dr. Benjamin Hardy",9 hrs and 58 mins
The Power of Money,Paul Sheard,9 hrs and 26 mins
Swimming in the Sacred,Rachel Harris PhD,7 hrs and 49 mins
"Sorry I'm Late, I Didn't Want to Come",Jessica Pan,8 hrs and 52 mins
The Rain King,Selena,12 hrs and 58 mins
Cruel Seduction,Katee Robert,11 hrs and 10 mins
Keep It in the Family,John Marrs,10 hrs and 3 mins
The New Millionaire's Playbook,Gordy Bal,5 hrs and 49 mins
Followed,Amanda Bucci,7 hrs and 57 mins
The Heaven & Earth Grocery Store,James McBride,12 hrs and 21 mins
American Prometheus,"Kai Bird,Martin J. Sherwin",26 hrs and 30 mins
The Paris Assignment,Rhys Bowen,11 hrs and 17 mins
The Coworker,Freida McFadden,8 hrs and 12 mins
Playground,Aron Beauregard,9 hrs and 56 mins
Too Late,Colleen Hoover,10 hrs and 19 mins
None of This Is True,Lisa Jewell,10 hrs and 13 mins
Cast in Shadows,Alice Winters,9 hrs and 41 mins
Does It Hurt?,H. D. Carlton,12 hrs and 7 mins
Paganism,Melissa Smith,9 hrs and 41 mins
Our Cosmic Origin,Ismael Perez,11 hrs and 54 mins
All-Knowing Novice,Kenneth Arant,9 hrs and 5 mins
The Three-Body Problem,Cixin Liu,13 hrs and 26 mins
Parallel Universes of Self,Frederick E. Dodson,14 hrs and 25 mins
The Courage to Be Disliked,"Ichiro Kishimi,Fumitake Koga",6 hrs and 29 mins
Raised to Stay,Natalie Runion,5 hrs and 4 mins
Legacy on Trial,Joe Cargile,12 hrs and 16 mins
"Love, Theoretically",Ali Hazelwood,12 hrs and 33 mins
USS Lincoln: Mercy Kill,Mark Wayne McGinnis,9 hrs and 53 mins
The Honeymoon Crashers,Christina Lauren,4 hrs and 47 mins
Hunger: The Complete Trilogy,Jeremy Robinson,25 hrs and 6 mins
Playing Hard to Get,Monica Murphy,10 hrs and 51 mins
Light Bringer,Pierce Brown,30 hrs and 8 mins
The Untethered Soul,Michael A. Singer,6 hrs and 11 mins
Cutting for Stone,Abraham Verghese,23 hrs and 54 mins
Born a Crime,Trevor Noah,8 hrs and 44 mins
To Kill a Mockingbird,Harper Lee,12 hrs and 17 mins
The Hitchhiker's Guide to the Galaxy,Douglas Adams,5 hrs and 51 mins
Educated,Tara Westover,12 hrs and 10 mins
The Conquered World,Elin Wyn,98 hrs and 10 mins
Alpha of Mortal Flesh,Ben Alderson,13 hrs and 29 mins
Icebreaker,Hannah Grace,13 hrs and 23 mins
"Pride High, Book 2",Jay Bell,14 hrs and 34 mins
Who Fears Death,Nnedi Okorafor,16 hrs and 59 mins
Rise of the Giants,Steve Gilmore,8 hrs and 55 mins
Mine to Take,Natasha Madison,7 hrs and 10 mins
The Narrow Road Between Desires,Patrick Rothfuss,8 hrs
The Sands of Saturn,Travis Starnes,8 hrs and 44 mins
Losing Our Religion,Russell Moore,6 hrs and 46 mins
American Playbook,Clay Travis,8 hrs and 39 mins
You Will Own Nothing,Carol Roth,11 hrs
The Wishing Game,Meg Shaffer,10 hrs and 38 mins
Just Another Missing Person,Gillian McAllister,10 hrs and 14 mins
Family Lore,Elizabeth Acevedo,9 hrs and 50 mins
The Slight Edge,Jeff Olson,9 hrs and 47 mins
Going Infinite,Michael Lewis,Not Yet Known
The Heat Will Kill You First,Jeff Goodell,10 hrs and 7 mins
Master Class 2,"Annabelle Hawthorne,Virgil Knightley",10 hrs and 47 mins
Elder Epoch,Zamil Akhtar,26 hrs and 44 mins
The Subtle Art of Not Giving a F*ck,Mark Manson,5 hrs and 17 mins
The Motherlode,Clover Hope,7 hrs and 58 mins
Obsessed,"James Patterson,James O. Born",7 hrs and 48 mins
Atomic Habits,James Clear,5 hrs and 35 mins
Can't Hurt Me,David Goggins,13 hrs and 37 mins
Double Pucked,Lauren Blakely,8 hrs and 29 mins
Lady Tan's Circle of Women,Lisa See,13 hrs and 15 mins
Disruptive Thinking,T. D. Jakes,8 hrs and 32 mins
Cold Pursuit,Nancy Mehl,9 hrs and 39 mins
The Setup,Dan Bilzerian,11 hrs and 29 mins
What Was Meant to Be,Q.B. Tyler,9 hrs and 2 mins
Inside Your Ride,Tonya Johnston,8 hrs and 13 mins
The Theory and Practice of Group Psychotherapy (Sixth Edition),"Irvin D. Yalom,Molyn Leszcz",30 hrs and 8 mins
Bitcoin is Venice,"Allen Farrington,Sacha Meyers",16 hrs and 42 mins
City of Last Chances,Adrian Tchaikovsky,19 hrs and 50 mins
The Greatness Mindset,Lewis Howes,9 hrs and 7 mins
Quantum Supremacy,Michio Kaku,10 hrs and 41 mins
Shadow of Anubis,Dan Willis,8 hrs and 34 mins
The 5AM Club,Robin Sharma,11 hrs and 4 mins
